ABL1	BRCA2	CTNNB1	EWSR1	GATA1	IDH2	MAP3K13	NOTCH3	PNRC1	RPS6KA4	STK40
ABL2	BRD4	CUL3	EZH2	GATA2	IFNGR1	MAP3K14	NOTCH4	POLD1	RPS6KB1	SUFU
ACVR1	BRIP1	CUX1	FAM123B	GATA3	IGF1	MAP3K4	NPM1	POLE	RPS6KB2	SUZ12
ACVR1B	BTG1	CXCR4	FAM175A	GATA4	IGF1R	MAPK1	NRAS	PPARG	RPTOR	SYK
AKT1	BTK	CYLD	FAM46C	GATA6	IGF2	MAPK3	NRG1	PPM1D	RUNX1	TAF1
AKT2	C11orf30	DAXX	FANCA	GEN1	IKBKE	MAX	NSD1	PPP2R1A	RUNX1T1	TBX3
AKT3	CALR	DCUN1D1	FANCC	GID4	IKZF1	MCL1	NTRK1	PPP2R2A	RYBP	TCEB1
ALK	CARD11	DDR2	FANCD2	GLI1	IL10	MDC1	NTRK2	PPP6C	SDHA	TCF3
ALOX12B	CASP8	DDX41	FANCE	GNA11	IL7R	MDM2	NTRK3	PRDM1	SDHAF2	TCF7L2
ANKRD11	CBFB	DHX15	FANCF	GNA13	INHA	MDM4	NUP93	PREX2	SDHB	TERC
ANKRD26	CBL	DICER1	FANCG	GNAQ	INHBA	MED12	NUTM1	PRKAR1A	SDHC	TERT
APC	CCND1	DIS3	FANCI	GNAS	INPP4A	MEF2B	PAK1	PRKCI	SDHD	TET1
AR	CCND2	DNAJB1	FANCL	GPR124	INPP4B	MEN1	PAK3	PRKDC	SETBP1	TET2
ARAF	CCND3	DNMT1	FAS	GPS2	INSR	MET	PAK7	PRSS8	SETD2	TFE3
ARFRP1	CCNE1	DNMT3A	FAT1	GREM1	IRF2	MGA	PALB2	PTCH1	SF3B1	TFRC
ARID1A	CD274	DNMT3B	FBXW7	GRIN2A	IRF4	MITF	PARK2	PTEN	SH2B3	TGFBR1
ARID1B	CD276	DOT1L	FGF1	GRM3	IRS1	MLH1	PARP1	PTPN11	SH2D1A	TGFBR2
ARID2	CD74	E2F3	FGF10	GSK3B	IRS2	MLL/KMT2A	PAX3	PTPRD	SHQ1	TMEM127
ARID5B	CD79A	EED	FGF14	H3F3A	JAK1	MLLT3	PAX5	PTPRS	SLIT2	TMPRSS2
ASXL1	CD79B	EGFL7	FGF19	H3F3B	JAK2	MPL	PAX7	PTPRT	SLX4	TNFAIP3
ASXL2	CDC73	EGFR	FGF2	H3F3C	JAK3	MRE11A	PAX8	QKI	SMAD2	TNFRSF14
ATM	CDH1	EIF1AX	FGF23	HGF	JUN	MSH2	PBRM1	RAB35	SMAD3	TOP1
ATR	CDK12	EIF4A2	FGF3	HIST1H1C	KAT6A	MSH3	PDCD1	RAC1	SMAD4	TOP2A
ATRX	CDK4	EIF4E	FGF4	HIST1H2BD	KDM5A	MSH6	PDCD1LG2	RAD21	SMARCA4	TP53
AURKA	CDK6	EML4	FGF5	HIST1H3A	KDM5C	MST1	PDGFRA	RAD50	SMARCB1	TP63
AURKB	CDK8	EP300	FGF6	HIST1H3B	KDM6A	MST1R	PDGFRB	RAD51	SMARCD1	TRAF2
AXIN1	CDKN1A	EPCAM	FGF7	HIST1H3C	KDR	MTOR	PDK1	RAD51B	SMC1A	TRAF7
AXIN2	CDKN1B	EPHA3	FGF8	HIST1H3D	KEAP1	MUTYH	PDPK1	RAD51C	SMC3	TSC1
AXL	CDKN2A	EPHA5	FGF9	HIST1H3E	KEL	MYB	PGR	RAD51D	SMO	TSC2
B2M	CDKN2B	EPHA7	FGFR1	HIST1H3F	KIF5B	MYC	PHF6	RAD52	SNCAIP	TSHR
BAP1	CDKN2C	EPHB1	FGFR2	HIST1H3G	KIT	MYCL1	PHOX2B	RAD54L	SOCS1	U2AF1
BARD1	CEBPA	ERBB2	FGFR3	HIST1H3H	KLF4	MYCN	PIK3C2B	RAF1	SOX10	VEGFA
BBC3	CENPA	ERBB3	FGFR4	HIST1H3I	KLHL6	MYD88	PIK3C2G	RANBP2	SOX17	VHL
BCL10	CHD2	ERBB4	FH	HIST1H3J	KRAS	MYOD1	PIK3C3	RARA	SOX2	VTCN1
BCL2	CHD4	ERCC1	FLCN	HIST2H3A	LAMP1	NAB2	PIK3CA	RASA1	SOX9	WISP3
BCL2L1	CHEK1	ERCC2	FLI1	HIST2H3C	LATS1	NBN	PIK3CB	RB1	SPEN	WT1
BCL2L11	CHEK2	ERCC3	FLT1	HIST2H3D	LATS2	NCOA3	PIK3CD	RBM10	SPOP	XIAP
BCL2L2	CIC	ERCC4	FLT3	HIST3H3	LMO1	NCOR1	PIK3CG	RECQL4	SPTA1	XPO1
BCL6	CREBBP	ERCC5	FLT4	HNF1A	LRP1B	NEGR1	PIK3R1	REL	SRC	XRCC2
BCOR	CRKL	ERG	FOXA1	HNRNPK	LYN	NF1	PIK3R2	RET	SRSF2	YAP1
BCORL1	CRLF2	ERRFI1	FOXL2	HOXB13	LZTR1	NF2	PIK3R3	RFWD2	STAG1	YES1
BCR	CSF1R	ESR1	FOXO1	HRAS	MAGI2	NFE2L2	PIM1	RHEB	STAG2	ZBTB2
BIRC3	CSF3R	ETS1	FOXP1	HSD3B1	MALT1	NFKBIA	PLCG2	RHOA	STAT3	ZBTB7A
BLM	CSNK1A1	ETV1	FRS2	HSP90AA1	MAP2K1	NKX2-1	PLK2	RICTOR	STAT4	ZFHX3
BMPR1A	CTCF	ETV4	FUBP1	ICOSLG	MAP2K2	NKX3-1	PMAIP1	RIT1	STAT5A	ZNF217
BRAF	CTLA4	ETV5	FYN	ID3	MAP2K4	NOTCH1	PMS1	RNF43	STAT5B	ZNF703
BRCA1	CTNNA1	ETV6	GABRA6	IDH1	MAP3K1	NOTCH2	PMS2	ROS1	STK11	ZRSR2
